feature_id;axis;nominal;lie_customer;lse_customer;lie_internal;lse_internal;feature_description;on_accuracy
PART01_01R_X;Pos X;226.2;-3;3;-4.5;4.5;Upper Part Inboard RH Hole - Pos X;True
PART01_01R_Y;Pos Y;326;-3;3;-4.5;4.5;Upper Part Inboard RH Hole - Pos Y;True
PART01_01R_Z;Pos Z;990.2;-3;3;-4.5;4.5;Upper Part Inboard RH Hole - Pos Z;True
PART01_02R_X;Pos X;226.2;-3;3;-4.5;4.5;Upper Part Outboard RH Hole - Pos X;True
PART01_02R_Y;Pos Y;449;-3;3;-4.5;4.5;Upper Part Outboard RH Hole - Pos Y;True
PART01_02R_Z;Pos Z;1052.3;-3;3;-4.5;4.5;Upper Part Outboard RH Hole - Pos Z;True
PART01_01L_X;Pos X;226.2;-3;3;-4.5;4.5;Upper Part Inboard LH Hole - Pos X;True
PART01_01L_Y;Pos Y;-326;-3;3;-4.5;4.5;Upper Part Inboard LH Hole - Pos Y;True
PART01_01L_Z;Pos Z;990.2;-3;3;-4.5;4.5;Upper Part Inboard LH Hole - Pos Z;True
PART01_02L_X;Pos X;226.2;-3;3;-4.5;4.5;Outboard Nut LH - Pos X;TRUE
PART01_02L_Y;Pos Y;-449;-3;3;-4.5;4.5;Outboard Nut LH - Pos Y;TRUE
PART01_02L_Z;Pos Z;1052.3;-3;3;-4.5;4.5;Outboard Nut LH - Pos Z;TRUE
PART01_P1_Y;Dist Y;652;-3;3;-6;6;Lower Part - Outboard vs Outboard Holes - W-Pitch;True
PART01_P5R_X;Dist X;0;-1.5;1.5;-3;3;Inboard Nut vs Outboard Nut RH - L-Pitch;TRUE
PART01_P5R_Y;Dist Y;123;-1;1;-2;2;Inboard Nut vs Outboard Nut RH - W-Pitch;TRUE
PART01_P5R_Z;Dist Z;62.1;-1;1;-2;2;Inboard Nut vs Outboard Nut RH - H-Pitch;TRUE
PART01_P5L_X;Dist X;0;-1.5;1.5;-3;3;Inboard Nut vs Outboard Nut LH - L-Pitch;TRUE
PART01_P5L_Y;Dist Y;123;-1;1;-2;2;Inboard Nut vs Outboard Nut LH - W-Pitch;TRUE
PART01_P5L_Z;Dist Z;62.1;-1;1;-2;2;Inboard Nut vs Outboard Nut LH - H-Pitch;TRUE
PART01_P3R_X;Dist X;193.8;-4;4;-8;8;Inboard Nut vs Cab # 1 RH - L-Pitch;TRUE
PART01_P3R_Z;Dist Z;81.2;-4;4;-8;8;Inboard Nut vs Cab # 1 RH - H-Pitch;TRUE
PART01_P3L_X;Dist X;193.8;-4;4;-8;8;Inboard Nut vs Cab # 1 LH - L-Pitch;TRUE
PART01_P3L_Z;Dist Z;81.2;-4;4;-8;8;Inboard Nut vs Cab # 1 LH - H-Pitch;TRUE
PART02_01R_X;Pos X;420;-4;4;-8;8;Lower Part Inboard RH Hole - Pos X;True
PART02_01R_Y;Pos Y;459.6;-4;4;-8;8;Lower Part Inboard RH Hole - Pos Y;True
PART02_01R_Z;Pos Z;1071.4;-4;4;-8;8;Lower Part Inboard RH Hole - Pos Z;True
PART02_02R_X;Pos X;1527.1;-4;4;-8;8;Lower Part Outboard Hole - Pos X;True
PART02_02R_Y;Pos Y;620.4;-4;4;-8;8;Lower Part Outboard Hole - Pos Y;True
PART02_02R_Z;Pos Z;918;-4;4;-8;8;Lower Part Outboard Hole - Pos Z;True
PART02_01L_X;Pos X;420;-4;4;-8;8;Lower Part Inboard LH Hole - Pos X;True
PART02_01L_Y;Pos Y;-459.6;-4;4;-8;8;Lower Part Inboard LH Hole - Pos Y;True
PART02_01L_Z;Pos Z;1071.4;-4;4;-8;8;Lower Part Inboard LH Hole - Pos Z;True
PART02_02L_X;Pos X;1527.1;-4;4;-8;8;Cab # 2 LH - Pos X;TRUE
PART02_02L_Y;Pos Y;-620.4;-4;4;-8;8;Cab # 2 LH - Pos Y;TRUE
PART02_02L_Z;Pos Z;918;-4;4;-8;8;Cab # 2 LH - Pos Z;TRUE
PART02_P1_X;Dist X;0;-4;4;-8;8;Cab # 1 RH vs Cab # 1 LH - L-Pitch;TRUE
PART02_P1_Y;Dist Y;919.2;-4;4;-8;8;Lower Part - Inboard vs Outboard Holes - W-Pitch;True
PART02_P1_Z;Dist Z;0;-3;3;-6;6;Cab # 1 RH vs Cab # 1 LH - H-Pitch;TRUE
