group_id;feature_id;feature_position
PART01;PART01_01L_X;1
PART01;PART01_01L_Y;2
PART01;PART01_01L_Z;3
PART01;PART01_01R_X;4
PART01;PART01_01R_Y;5
PART01;PART01_01R_Z;6
PART01;PART01_02R_X;7
PART01;PART01_02R_Y;8
PART01;PART01_02R_Z;9
PART01;PART01_P1_Y;10
PART02;PART02_01L_X;1
PART02;PART02_01L_Y;2
PART02;PART02_01L_Z;3
PART02;PART02_01R_X;4
PART02;PART02_01R_Y;5
PART02;PART02_01R_Z;6
PART02;PART02_02R_X;7
PART02;PART02_02R_Y;8
PART02;PART02_02R_Z;9
PART02;PART02_P1_Y;10
PART03;BUMPER_TOP_RH_Z;1
PART04_A;CM1_BUJE_RR_LH_X;1
PART04_B;BUMPER_TOP_RH_Y;1
PART076;BUMPER_TOP_RH_Y;1
